DATE,TIME,12CO2
5/11/2026,22:47:34,5.40E+02
5/11/2026,22:47:35,5.40E+02
5/11/2026,22:47:36,5.40E+02
5/11/2026,22:47:37,5.39E+02
5/11/2026,22:47:39,5.38E+02
5/11/2026,22:47:40,5.38E+02
5/11/2026,22:47:41,5.37E+02
5/11/2026,22:47:42,5.37E+02
5/11/2026,22:47:44,5.37E+02
5/11/2026,22:47:45,5.36E+02
5/11/2026,22:47:46,5.35E+02
5/11/2026,22:47:47,5.35E+02
5/11/2026,22:47:49,5.34E+02
5/11/2026,22:47:50,5.33E+02
5/11/2026,22:47:51,5.33E+02
5/11/2026,22:47:53,5.32E+02
5/11/2026,22:47:54,5.32E+02
5/11/2026,22:47:55,5.32E+02
5/11/2026,22:47:56,5.31E+02
5/11/2026,22:47:57,5.30E+02
5/11/2026,22:47:59,5.30E+02
5/11/2026,22:48:00,5.29E+02
5/11/2026,22:48:01,5.28E+02
5/11/2026,22:48:02,5.28E+02
5/11/2026,22:48:04,5.27E+02
5/11/2026,22:48:05,5.27E+02
5/11/2026,22:48:06,5.27E+02
5/11/2026,22:48:08,5.26E+02
5/11/2026,22:48:09,5.25E+02
5/11/2026,22:48:10,5.25E+02
5/11/2026,22:48:12,5.24E+02
5/11/2026,22:48:13,5.23E+02
5/11/2026,22:48:14,5.23E+02
5/11/2026,22:48:16,5.22E+02
5/11/2026,22:48:17,5.22E+02
5/11/2026,22:48:18,5.22E+02
5/11/2026,22:48:19,5.21E+02
5/11/2026,22:48:20,5.20E+02
5/11/2026,22:48:22,5.20E+02
5/11/2026,22:48:23,5.19E+02
5/11/2026,22:48:24,5.18E+02
5/11/2026,22:48:26,5.18E+02
5/11/2026,22:48:27,5.18E+02
5/11/2026,22:48:28,5.17E+02
5/11/2026,22:48:29,5.17E+02
5/11/2026,22:48:31,5.16E+02
5/11/2026,22:48:32,5.16E+02
5/11/2026,22:48:33,5.16E+02
5/11/2026,22:48:34,5.15E+02
5/11/2026,22:48:35,5.14E+02
5/11/2026,22:48:37,5.14E+02
5/11/2026,22:48:38,5.13E+02
5/11/2026,22:48:39,5.13E+02
5/11/2026,22:48:41,5.13E+02
5/11/2026,22:48:42,5.12E+02
5/11/2026,22:48:43,5.12E+02
5/11/2026,22:48:44,5.12E+02
5/11/2026,22:48:46,5.11E+02
5/11/2026,22:48:47,5.10E+02
5/11/2026,22:48:48,5.10E+02
5/11/2026,22:48:50,5.09E+02
5/11/2026,22:48:51,5.09E+02
5/11/2026,22:48:52,5.09E+02
